CMDLINE C:\Users\Tim\AppData\Local\Programs\Python\Python310\python.exe .\TD1\Lib.py
MEM 663.113281 1673544580.0343
MEM 656.289062 1673544580.1435
MEM 653.570312 1673544580.2578
MEM 656.632812 1673544580.3703
MEM 653.914062 1673544580.4842
MEM 643.078125 1673544580.5930
MEM 656.289062 1673544580.7023
MEM 643.078125 1673544580.8025
MEM 653.296875 1673544580.9113
MEM 643.078125 1673544581.0190
MEM 671.851562 1673544581.1342
MEM 670.417969 1673544581.2427
MEM 662.746094 1673544581.3506
MEM 643.078125 1673544581.4605
MEM 673.968750 1673544581.5686
MEM 658.058594 1673544581.6771
MEM 657.957031 1673544581.7851
MEM 656.671875 1673544581.8930
MEM 674.785156 1673544582.0043
MEM 674.226562 1673544582.1142
MEM 677.367188 1673544582.2228
MEM 656.625000 1673544582.3319
MEM 670.003906 1673544582.4444
MEM 671.136719 1673544582.5625
MEM 656.523438 1673544582.6694
MEM 671.187500 1673544582.7694
MEM 674.691406 1673544582.8852
MEM 653.648438 1673544582.9883
MEM 670.531250 1673544583.0994
MEM 670.332031 1673544583.2182
MEM 667.828125 1673544583.3272
MEM 675.062500 1673544583.4372
MEM 656.289062 1673544583.5461
MEM 653.644531 1673544583.6547
MEM 656.636719 1673544583.7629
MEM 674.785156 1673544583.8723
MEM 656.289062 1673544583.9831
MEM 661.742188 1673544584.0928
MEM 674.332031 1673544584.2039
MEM 643.078125 1673544584.3117
MEM 670.472656 1673544584.4264
MEM 645.601562 1673544584.5410
MEM 664.210938 1673544584.6428
MEM 662.222656 1673544584.7468
MEM 671.078125 1673544584.8605
MEM 656.289062 1673544584.9692
MEM 677.429688 1673544585.0795
MEM 656.289062 1673544585.1882
MEM 653.644531 1673544585.2973
MEM 656.433594 1673544585.4170
MEM 643.078125 1673544585.5249
MEM 677.429688 1673544585.6263
MEM 670.675781 1673544585.7272
MEM 670.277344 1673544585.8450
MEM 650.093750 1673544585.9601
MEM 656.632812 1673544586.0729
MEM 670.539062 1673544586.1848
MEM 661.285156 1673544586.2853
MEM 673.582031 1673544586.4004
MEM 659.941406 1673544586.5120
MEM 677.167969 1673544586.6259
MEM 663.562500 1673544586.7341
MEM 653.648438 1673544586.8348
MEM 675.933594 1673544586.9448
MEM 663.777344 1673544587.0482
MEM 643.210938 1673544587.1498
MEM 656.097656 1673544587.2499
MEM 655.691406 1673544587.3608
MEM 645.121094 1673544587.4719
MEM 655.472656 1673544587.5816
MEM 655.695312 1673544587.6922
MEM 665.667969 1673544587.8049
MEM 668.636719 1673544587.9072
MEM 658.070312 1673544588.0172
MEM 675.085938 1673544588.1281
MEM 676.042969 1673544588.2432
MEM 644.859375 1673544588.3432
MEM 644.859375 1673544588.4490
MEM 665.671875 1673544588.5491
MEM 644.859375 1673544588.6517
MEM 678.964844 1673544588.7532
MEM 658.070312 1673544588.8688
MEM 646.167969 1673544588.9696
MEM 665.324219 1673544589.0822
MEM 658.324219 1673544589.1901
MEM 665.992188 1673544589.2902
MEM 655.910156 1673544589.4002
MEM 660.722656 1673544589.5096
MEM 658.421875 1673544589.6178
MEM 655.425781 1673544589.7270
MEM 677.093750 1673544589.8398
MEM 655.425781 1673544589.9426
MEM 665.328125 1673544590.0545
MEM 665.718750 1673544590.1632
MEM 660.726562 1673544590.2740
MEM 658.101562 1673544590.3810
MEM 658.070312 1673544590.4864
MEM 658.375000 1673544590.5953
MEM 644.859375 1673544590.7030
MEM 644.859375 1673544590.8132
MEM 644.859375 1673544590.9225
MEM 644.859375 1673544591.0305
MEM 655.429688 1673544591.1408
MEM 678.949219 1673544591.2538
MEM 663.519531 1673544591.3617
MEM 663.734375 1673544591.4703
MEM 677.792969 1673544591.5805
MEM 676.492188 1673544591.6903
MEM 677.746094 1673544591.8023
MEM 664.316406 1673544591.9220
MEM 665.992188 1673544592.0308
MEM 665.828125 1673544592.1396
MEM 677.714844 1673544592.2518
MEM 676.566406 1673544592.3629
MEM 672.324219 1673544592.4716
MEM 665.722656 1673544592.5790
MEM 644.859375 1673544592.6878
MEM 655.429688 1673544592.7971
MEM 644.859375 1673544592.9072
MEM 655.429688 1673544593.0153
MEM 644.859375 1673544593.1223
MEM 655.425781 1673544593.2321
MEM 658.070312 1673544593.3383
MEM 672.246094 1673544593.4475
MEM 679.210938 1673544593.5561
MEM 658.437500 1673544593.6628
MEM 658.070312 1673544593.7712
MEM 675.445312 1673544593.8778
MEM 676.515625 1673544593.9870
MEM 647.847656 1673544594.0971
MEM 676.449219 1673544594.2069
MEM 654.691406 1673544594.3163
MEM 672.242188 1673544594.4269
MEM 661.273438 1673544594.5349
MEM 644.859375 1673544594.6440
MEM 672.277344 1673544594.7551
MEM 658.398438 1673544594.8634
MEM 658.195312 1673544594.9735
MEM 644.859375 1673544595.0815
MEM 658.363281 1673544595.1901
MEM 655.078125 1673544595.2991
MEM 646.789062 1673544595.4071
MEM 656.316406 1673544595.5172
MEM 656.230469 1673544595.6270
MEM 659.023438 1673544595.7344
MEM 656.066406 1673544595.8432
MEM 678.273438 1673544595.9542
MEM 665.000000 1673544596.0625
